clone_a,clone_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1-C2,E7.5-R2-C4,14,182,110,39.01728820800781,3.398855209350586
E7.5-R1-C2,E7.5-R2-C4,15,182,110,48.15150451660156,5.91426420211792
E7.5-R1-C2,E7.5-R2-C4,16,182,110,37.151309967041016,3.8360352516174316
E7.5-R1-C2,E7.5-R2-C4,17,182,110,25.41689682006836,3.3736085891723633
E7.5-R1-C2,E7.5-R2-C4,18,182,110,39.313480377197266,4.540098190307617
E7.5-R1-C2,E7.5-R2-C4,19,182,110,35.06546401977539,3.2344722747802734
E7.5-R1-C2,E7.5-R2-C4,20,182,110,23.061721801757812,2.444936752319336
E7.5-R1-C2,E7.5-R2-C4,21,182,110,33.669151306152344,2.943441390991211
E7.5-R1-C2,E7.5-R2-C4,22,182,110,35.30244445800781,3.979386329650879
E7.5-R1-C2,E7.5-R2-C4,23,182,110,31.751026153564453,3.344681739807129
E7.5-R1-C2,E7.5-R2-C4,24,182,110,24.136791229248047,2.4007182121276855
E7.5-R1-C2,E7.5-R2-C4,25,182,110,39.5811653137207,3.6287612915039062
E7.5-R1-C2,E7.5-R2-C4,26,182,110,35.935546875,2.8264880180358887
E7.5-R1-C2,E7.5-R2-C4,27,182,110,28.955509185791016,2.891693592071533
E7.5-R1-C2,E7.5-R2-C4,28,182,110,31.43274688720703,3.1075310707092285
E7.5-R1-C2,E7.5-R2-C4,29,182,110,47.64100646972656,3.9945125579833984
E7.5-R1-C2,E7.5-R2-C4,30,182,110,27.918258666992188,3.020176887512207
E7.5-R1-C2,E7.5-R2-C4,31,182,110,41.02737045288086,3.4290170669555664
E7.5-R1-C2,E7.5-R2-C4,32,182,110,21.641447067260742,3.151855945587158
E7.5-R1-C2,E7.5-R2-C4,33,182,110,43.18265914916992,3.81784725189209
E7.5-R1-C2,E7.5-R2-C4,34,182,110,51.620933532714844,4.86762809753418
E7.5-R1-C2,E7.5-R2-C4,35,182,110,49.82944107055664,4.04167366027832
